Zero No.1:	(14.1, 14.2)
Zero No.2:	(21.0, 21.1)
Zero No.3:	(25.0, 25.1)
Zero No.4:	(30.4, 30.5)
Zero No.5:	(32.9, 33.0)
Zero No.6:	(37.5, 37.6)
Zero No.7:	(40.9, 41.0)
Zero No.8:	(43.3, 43.4)
Zero No.9:	(48.0, 48.1)
Zero No.10:	(49.7, 49.8)
Zero No.11:	(52.9, 53.0)
Zero No.12:	(56.4, 56.5)
Zero No.13:	(59.3, 59.4)
Zero No.14:	(60.8, 60.9)
Zero No.15:	(65.1, 65.2)
Zero No.16:	(67.0, 67.1)
Zero No.17:	(69.5, 69.6)
Zero No.18:	(72.0, 72.1)
Zero No.19:	(75.7, 75.8)
Zero No.20:	(77.1, 77.2)
Zero No.21:	(79.3, 79.4)
Zero No.22:	(82.9, 83.0)
Zero No.23:	(84.7, 84.8)
Zero No.24:	(87.4, 87.5)
Zero No.25:	(88.8, 88.9)
Zero No.26:	(92.4, 92.5)
Zero No.27:	(94.6, 94.7)
Zero No.28:	(95.8, 95.9)
Zero No.29:	(98.8, 98.9)
Zero No.30:	(101.3, 101.4)
Zero No.31:	(103.7, 103.8)
Zero No.32:	(105.4, 105.5)
Zero No.33:	(107.1, 107.2)
Zero No.34:	(111.0, 111.1)
Zero No.35:	(111.8, 111.9)
Zero No.36:	(114.3, 114.4)
Zero No.37:	(116.2, 116.3)
Zero No.38:	(118.7, 118.8)
Zero No.39:	(121.3, 121.4)
Zero No.40:	(122.9, 123.0)
Zero No.41:	(124.2, 124.3)
Zero No.42:	(127.5, 127.6)
Zero No.43:	(129.5, 129.6)
Zero No.44:	(131.0, 131.1)
Zero No.45:	(133.4, 133.5)
Zero No.46:	(134.7, 134.8)
Zero No.47:	(138.1, 138.2)
Zero No.48:	(139.7, 139.8)
Zero No.49:	(141.1, 141.2)
Zero No.50:	(143.1, 143.2)
Zero No.51:	(146.0, 146.1)
Zero No.52:	(147.4, 147.5)
Zero No.53:	(150.0, 150.1)
Zero No.54:	(150.9, 151.0)
Zero No.55:	(153.0, 153.1)
Zero No.56:	(156.1, 156.2)
Zero No.57:	(157.5, 157.6)
Zero No.58:	(158.8, 158.9)
Zero No.59:	(161.1, 161.2)
Zero No.60:	(163.0, 163.1)
Zero No.61:	(165.5, 165.6)
Zero No.62:	(167.1, 167.2)
Zero No.63:	(169.0, 169.1)
Zero No.64:	(169.9, 170.0)
Zero No.65:	(173.4, 173.5)
Zero No.66:	(174.7, 174.8)
Zero No.67:	(176.4, 176.5)
Zero No.68:	(178.3, 178.4)
Zero No.69:	(179.9, 180.0)
Zero No.70:	(182.2, 182.3)
Zero No.71:	(184.8, 184.9)
Zero No.72:	(185.5, 185.6)
Zero No.73:	(187.2, 187.3)
Zero No.74:	(189.4, 189.5)
Zero No.75:	(192.0, 192.1)
Zero No.76:	(193.0, 193.1)
Zero No.77:	(195.2, 195.3)
Zero No.78:	(196.8, 196.9)
Zero No.79:	(198.0, 198.1)
Zero No.80:	(201.2, 201.3)
Zero No.81:	(202.4, 202.5)
Zero No.82:	(204.1, 204.2)
Zero No.83:	(205.3, 205.4)
Zero No.84:	(207.9, 208.0)
Zero No.85:	(209.5, 209.6)
Zero No.86:	(211.6, 211.7)
Zero No.87:	(213.3, 213.4)
Zero No.88:	(214.5, 214.6)
Zero No.89:	(216.1, 216.2)
Zero No.90:	(219.0, 219.1)
Zero No.91:	(220.7, 220.8)
Zero No.92:	(221.4, 221.5)
Zero No.93:	(224.0, 224.1)
Zero No.94:	(224.9, 225.0)
Zero No.95:	(227.4, 227.5)
Zero No.96:	(229.3, 229.4)
Zero No.97:	(231.2, 231.3)
Zero No.98:	(231.9, 232.0)
Zero No.99:	(233.6, 233.7)
Zero No.100:	(236.5, 236.6)
Zero No.101:	(237.7, 237.8)
Zero No.102:	(239.5, 239.6)
Zero No.103:	(241.0, 241.1)
Zero No.104:	(242.8, 242.9)
Zero No.105:	(244.0, 244.1)
Zero No.106:	(247.1, 247.2)
Zero No.107:	(248.1, 248.2)
Zero No.108:	(249.5, 249.6)
Zero No.109:	(251.0, 251.1)
Zero No.110:	(253.0, 253.1)
Zero No.111:	(255.3, 255.4)
Zero No.112:	(256.3, 256.4)
Zero No.113:	(258.6, 258.7)
Zero No.114:	(259.8, 259.9)
Zero No.115:	(260.8, 260.9)
